Name|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
KIM_JOHNSSON|1.05|0|2.2|4.05|4.8|5.25|5.3|0|0|0|0|22.65
KIMMO_TIMONEN|1.4|2|2.47|2.28|8|8|7|7|5|3|6|52.15
KIP_BRENNAN|0|0|0.45|0|0|0|0|0|0|0|0|0.45
KIP_MILLER|0.55|0.9|0|0|0|0|0|0|0|0|0|1.45
KIRBY_LAW|0.425|0|0|0|0|0|0|0|0|0|0|0.425
KIRILL_KABANOV|0|0|0|0|0|0|0|0|0|0.89|0.9|1.79
KIRK_MALTBY|1.25|2|1.444|1.368|0.95|0.95|0.75|0|0|0|0|8.712
KIRK_MCLEAN|0.95|0|0|0|0|0|0|0|0|0|0|0.95
KIRK_MULLER|0.8|0|0|0|0|0|0|0|0|0|0|0.8
KLAS_DAHLBECK|0|0|0|0|0|0|0|0|0|0.595|0.6|1.195
KONRAD_ABELTSHAUSER|0|0|0|0|0|0|0|0|0|0.6|0.625|1.225
KONSTANTIN_KOLSTOV|0|0|0.627|0|0|0|0|0|0|0|0|0.627
KORBINIAN_HOLZER|0|0|0|0|0|0|0|0|0|0.575|0|0.575
KRIS_BEECH|0|1.025|0.899745|0.7|0.585|0|0|0|0|0|0|3.209745
KRIS_DRAPER|1.275|1.475|2.128|2.128|2.128|1.85|1.65|1.25|0|0|0|13.884
KRIS_FOUCAULT|0|0|0|0|0|0|0|0|0|0.555|0.555|1.11
KRIS_NEWBURY|0|0|0|0.495|0|0|0|0|0|0.6|0.6|1.695
KRIS_RUSSELL|0|0|0|0|0.55|0.575|0.525|1.3|1.3|1.3|1.5|7.05
KRIS_VERSTEEG|0|0|0|0|0.495|0.49|3.083|3.083|3.083|3.6|4.6|18.434
KRISTIAN_HUSELIUS|0|0|1.216|1.4|1.4|4.75|4.75|4.75|4.75|0|0|23.016
KRISTIANS_PELSS|0|0|0|0|0|0|0|0|0|0.565|0.57|1.135
KRISTOPHER_LETANG|0|0|0|0|0.56|0.685|0.625|3.5|3.5|3.5|3.5|15.87
KRYS_BARCH|0|0|0|0.45|0.475|0.575|0.575|0.825|0.85|0.75|0.75|5.25
KRYS_KOLANOS|0|0|0|0|0|0|0|0|0|0.525|0|0.525
KRYSTOFER_KOLANOS|1.075|1.075|0.5434|0|0|0.5|0|0|0|0|0|3.1934
KRZYSZTOF_OLIWA|0.85|0.5|0.836|0|0|0|0|0|0|0|0|2.186
KURT_SAUER|1.102|1.102|0.7182|0.685|0.71925|1.75|1.75|1.75|1.75|0|0|11.32645
KURTIS_FOSTER|0|0|0|0.775|1.025|1.025|0.6|1.8|1.8|0|0|7.025
KYLE_BEACH|0|0|0|0|0|0|0|0.875|0|0.787|0.55|2.212
KYLE_BRODZIAK|0|0|0|0|0.495|0.5|1.05|1.1|1.3|2.5|3|9.945
KYLE_CALDER|0.8|0.9|1.311|2.95|2.7|2.7|0|0|0|0|0|11.361
KYLE_CHIPCHURA|0|0|0|0|0.9842|0|0.5|0.65|0.55|0.675|0.8|4.1592
KYLE_CLIFFORD|0|0|0|0|0|0|0|0|0.765|0.68|1.075|2.52
KYLE_CUMISKEY|0|0|0|0|0.5125|0.475|0.525|0.675|0|0.744|0.70875|3.64025
KYLE_JEAN|0|0|0|0|0|0|0|0|0|0.693|0.718|1.411
KYLE_MCLAREN|1.755|2.5|1.9|2.5|2.5|0|0|0|0|0|0|11.155
KYLE_MEDVEC|0|0|0|0|0|0|0|0|0|0.57|0.578|1.148
KYLE_OKPOSO|0|0|0|0|0|0.85|0.85|0.765|1|2|3|8.465
KYLE_PALMIERI|0|0|0|0|0|0|0|0|0.9|0.9|0|1.8
KYLE_QUINCEY|0|0|0|0|0|0.5|0.55|3|3.25|3.55|4|14.85
KYLE_TURRIS|0|0|0|0|0|0.875|0.875|0.7875|0|1.6|2.5|6.6375
KYLE_WANVIG|0|0|0.495|0.45|0.475|0|0|0|0|0|0|1.42
KYLE_WELLWOOD|0|0|0.627|0.8|0.95|0.9975|1.2|0|0.7|1.6|0|6.8745
KYLE_WILSON|0|0|0|0|0|0|0|0|0|0.55|0|0.55
LADISLAV_BENYSEK|0.6675|0|0|0|0|0|0|0|0|0|0|0.6675
LADISLAV_NAGY|0.75|1|1.976|3|3.75|0|0|0|0|0|0|10.476
