who,last_active,TPq10,TPmed,TPq90
OLEG_SAPRYKIN,20062007,152,665.5,1575
DREW_STAFFORD,20132014,231,666.5,1436
BRYAN_MCCABE,20102011,275,667,1347.1
MARTIN_RUCINSKY,20072008,188,668.5,1522
BENN_FERRIERO,20122013,84,669.5,1733
MARC-ANDRE_GRAGNANI,20112012,99,670,1709.1
JEAN-PIERRE_DUMONT,20102011,249,671,1388
JORDAN_STAAL,20132014,259.9,674,1382
MARCUS_NILSON,20072008,160,675,1560
VALTTERI_FILPPULA,20132014,254,678,1403
DARIUS_KASPARAITIS,20062007,155.9,678,1612.1
ED_BELFOUR,20062007,222,678.5,1478.1
CHRIS_NEIL,20132014,237.9,679,1419.1
DUNCAN_KEITH,20132014,288,684,1331
NICK_BONINO,20132014,131,686,1675
MAX_PACIORETTY,20132014,172,687,1575
ALEC_MARTINEZ,20132014,147,687,1589
MATTHEW_BARNABY,20062007,160.9,687,1609.1
BRANDON_PIRRI,20132014,61,689.5,1815
ERIC_BOGUNIECKI,20052006,119,690,1679
OLIVER_EKMAN-LARSSON,20132014,186.9,692,1541.1
CLAYTON_STONER,20132014,162,694,1605
DAVE_BOLLAND,20132014,227,695,1487
MANNY_LEGACE,20092010,277,697,1373.1
SCOTT_MELLANBY,20062007,170,697,1600.1
PIERRE_TURGEON,20062007,151,699,1664.1
BRENDAN_SHANAHAN,20082009,231,700,1485
JASON_DEMERS,20132014,194,702,1553
JAN_HRDINA,20052006,155,702,1643
DEAN_MCAMMOND,20092010,215,706.5,1535.1
PASCAL_DUPUIS,20132014,297.9,713.5,1381
JOHNNY_BOYCHUK,20132014,231,713.5,1538.1
BRIAN_GIBBONS,20132014,59,715,1825
PAUL_BYRON,20132014,86,715.5,1831
TOMAS_VOKOUN,20122013,340,717,1323.1
MARTIN_BRODEUR,20132014,303,719,1377.1
KEVIN_SHATTENKIRK,20132014,205,719,1574
CRAIG_SMITH,20132014,150,720,1671.1
TYLER_JOHNSON,20132014,102.9,720,1794.1
RUSLAN_SALEI,20102011,284,721,1419.1
KEITH_CARNEY,20072008,226,721,1514
MATHIEU_PERREAULT,20132014,161,721,1656
MATT_COOKE,20132014,298.9,722,1426
MARC-ANTOINE_POULIOT,20112012,154.9,722,1651
GARY_ROBERTS,20082009,205,723,1562.1
DON_SWEENEY,20032004,112,723,1770
PETER_REGIN,20132014,162,729,1676
NICK_HOLDEN,20132014,102,730.5,1741
STEVE_OLEKSY,20132014,85,731,1804
DANIEL_PAILLE,20132014,225.9,732,1546
ANTON_BABCHUK,20122013,224,732,1562
AARON_JOHNSON,20122013,204.9,733.5,1564
ERIC_STAAL,20132014,326,737,1409.1
JURAJ_KOLNIK,20062007,153.9,741,1702
TRAVIS_HAMONIC,20132014,202.9,744,1607.1
DEVAN_DUBNYK,20132014,258,745,1534.1
JAKE_GARDINER,20132014,177,745,1670
BRYAN_MUIR,20062007,143,745.5,1760.1
JIRI_TLUSTY,20132014,217,746,1599.1
BILL_GUERIN,20092010,292,747,1500
ANTTI_NIEMI,20132014,282,750,1491
JASON_HOLLAND,20032004,69,750,1861
TOMAS_HOLMSTROM,20112012,271,754,1501
MARK_SCHEIFELE,20132014,103.9,754,1787
JAROSLAV_HALAK,20132014,303,755,1462
ERIK_CONDRA,20132014,153,760,1704
