who|last_active|career_effect|current_effect
ANDREW_LADD|20132014|0.119541726733467|0.119541726733467
ILYA_KOVALCHUK|20122013|0.119115104841261|0
JASON_POMINVILLE|20132014|0.119092605501328|0.119092605501328
MICHAEL_RYDER|20132014|0.118317380351015|0.118317380351015
ANDREI_KOSTITSYN|20112012|0.117988663238164|0
JOSH_BAILEY|20132014|0.117827220995747|0.117827220995747
MATS_SUNDIN|20082009|0.116187183663856|0
CRAIG_ANDERSON|20132014|0.115809619469907|0.115809619469907
SEAN_BURKE|20062007|0.115027006890323|0
TOM_PREISSING|20092010|0.114883625340655|0
OLEG_KVASHA|20052006|0.11470117270707|0
LEE_STEMPNIAK|20132014|0.114198190106246|0.114198190106246
MIKE_KNUBLE|20122013|0.11392809266335|0
ALEX_PIETRANGELO|20132014|0.113316288176921|0.113316288176921
MIIKKA_KIPRUSOFF|20122013|0.112759833066753|0
PETER_BONDRA|20062007|0.112416608607801|0
MILAN_MICHALEK|20132014|0.111293407753866|0.111293407753866
BRAD_BOYES|20132014|0.111240037954729|0.111240037954729
ALES_HEMSKY|20132014|0.110955115333821|0.110955115333821
RYAN_KESLER|20132014|0.11064821106715|0.11064821106715
RYAN_NUGENT-HOPKINS|20132014|0.11060346430976|0.11060346430976
JERE_LEHTINEN|20092010|0.110235468905886|0
CHRISTIAN_EHRHOFF|20132014|0.11018933134401|0.11018933134401
ERIK_GUSTAFSSON|20132014|0.109924475850099|0.109924475850099
ALEX_KOVALEV|20122013|0.109785628954559|0
JOHN_LECLAIR|20062007|0.108878747836664|0
MAREK_SVATOS|20102011|0.108758103685444|0
NOLAN_BAUMGARTNER|20092010|0.107663499324127|0
PHIL_KESSEL|20132014|0.107352555120039|0.107352555120039
NIK_ANTROPOV|20122013|0.107144036877657|0
MICHEL_OUELLET|20082009|0.106056169657893|0
ADAM_HENRIQUE|20132014|0.105546493717304|0.105546493717304
DAVID_LEGWAND|20132014|0.105444355055632|0.105444355055632
RAFFI_TORRES|20122013|0.104185114398812|0
BRANDON_DUBINSKY|20132014|0.10301469526243|0.10301469526243
ROMAN_HAMRLIK|20122013|0.102887868763658|0
TAYLOR_HALL|20132014|0.102457575980226|0.102457575980226
MIKE_DUNHAM|20062007|0.101078154459734|0
JOZEF_STUMPEL|20072008|0.10057016423494|0
SIMON_DESPRES|20132014|0.0998182599963697|0.0998182599963697
DAVID_VYBORNY|20072008|0.0997648945262786|0
R.J._UMBERGER|20132014|0.0990588547637953|0.0990588547637953
BRIAN_ROLSTON|20112012|0.0987559206223706|0
BRANDON_SUTTER|20132014|0.098524575266023|0.098524575266023
