player,season,beta,ppm,pm,salary
ALEXEI_PONIKAROVSKY,20092010,0.22,16.01,17,2.5
ALEX_BURROWS,20102011,0.19,16,22,2
DANIEL_SEDIN,20052006,0.22,15.99,41,1.25
COREY_PERRY,20102011,0.13,15.95,40,5.375
JORDAN_EBERLE,20112012,0.2,15.92,37,0.875
DANIEL_SEDIN,20072008,0.22,15.88,48,3.575
JAKUB_VORACEK,20112012,0.21,15.85,42,2.25
ALEX_OVECHKIN,20132014,0.29,15.84,16,9
ADAM_HENRIQUE,20112012,0.21,15.78,18,0.6125
MILAN_HEJDUK,20032004,0.19,15.77,58,0
MILAN_HEJDUK,20082009,0.19,15.77,4,4
RADIM_VRBATA,20112012,0.22,15.68,42,3
LUBOMIR_VISNOVSKY,20082009,0.31,15.67,27,7
ALEX_FROLOV,20072008,0.22,15.66,26,3
PATRICK_SHARP,20072008,0.21,15.57,36,0.825
ALEX_FROLOV,20092010,0.22,15.55,5,4
MILAN_HEJDUK,20052006,0.19,15.49,37,3.7
JASON_ARNOTT,20032004,0.28,15.48,48,3.85
RICK_NASH,20072008,0.2,15.46,11,5.5
RADIM_VRBATA,20072008,0.22,15.45,22,1.225
MARTIN_HAVLAT,20032004,0.25,15.43,51,0
MARIAN_HOSSA,20132014,0.26,15.42,21,7.9
RYAN_NUGENT-HOPKINS,20112012,0.26,15.41,27,0
MARK_STREIT,20112012,0.17,15.37,6,4.1
RICK_NASH,20102011,0.2,15.36,18,7.5
JAROMIR_JAGR,20032004,0.2,15.31,34,11
TIM_THOMAS,20072008,0.1,15.28,1,1
DANIEL_SEDIN,20112012,0.22,15.22,54,6.1
MILAN_HEJDUK,20062007,0.19,15.21,40,3.8
FRANS_NIELSEN,20092010,0.28,15.2,6,0.5
MARC-ANDRE_FLEURY,20112012,0.07,15.16,60,5.5
TOBIAS_ENSTROM,20102011,0.17,15.14,27,3.5
MARK_STREIT,20072008,0.17,15.12,57,0.6
JOHAN_FRANZEN,20072008,0.22,15.08,42,0.9
MAREK_MALIK,20022003,0.22,15.03,7,1.1
EVGENI_MALKIN,20072008,0.12,15.03,90,0.9842
