player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
ALEX_BURROWS,20082009,0.26,0.57,229.94,-86,0.48,0.26,0.57,29.33,-11,0.48
JOE_THORNTON,20082009,0.2,0.55,229.9,552,0.62,0.2,0.55,17.84,42,0.62
ALEXANDER_SEMIN,20062007,0.25,0.56,228.51,475,0.63,0,0.5,0,0,0
MARKUS_NASLUND,20082009,0.23,0.56,228.48,440,0.61,0.23,0.56,16.86,11,0.54
RYAN_SMYTH,20082009,0.21,0.55,228.23,318,0.57,0,0.5,0,0,0
EVGENI_MALKIN,20112012,0.19,0.55,227.65,759,0.66,0.19,0.55,17.84,83,0.72
ERIK_KARLSSON,20112012,0.15,0.54,227.49,513,0.58,0.15,0.54,19.15,50,0.6
MATT_DUCHENE,20102011,0.21,0.55,227.27,198,0.55,0,0.5,0,0,0
MARKUS_NASLUND,20052006,0.25,0.56,226.6,405,0.61,0,0.5,0,0,0
SHANE_DOAN,20112012,0.21,0.55,226.55,298,0.57,0.21,0.55,48.01,-42,0.45
HENRIK_ZETTERBERG,20082009,0.2,0.55,226.46,542,0.62,0.2,0.55,73.18,129,0.59
JUSSI_JOKINEN,20132014,0.38,0.59,226.06,232,0.6,0.38,0.59,48.01,68,0.63
FRANS_NIELSEN,20102011,0.26,0.56,225.81,-5,0.5,0,0.5,0,0,0
MIKHAIL_GRABOVSKI,20082009,0.26,0.56,225.62,256,0.57,0,0.5,0,0,0
MARCO_STURM,20072008,0.24,0.56,224.96,188,0.55,0.24,0.56,22.03,34,0.59
KYLE_WELLWOOD,20112012,0.28,0.57,224.41,333,0.6,0,0.5,0,0,0
LADISLAV_NAGY,20052006,0.35,0.59,224.4,371,0.64,0,0.5,0,0,0
MIKKO_KOIVU,20092010,0.21,0.55,224.03,211,0.55,0,0.5,0,0,0
PIERRE-MARC_BOUCHARD,20062007,0.26,0.56,223.8,436,0.63,0.26,0.56,11.29,25,0.64
DANIEL_SEDIN,20122013,0.39,0.6,223.54,349,0.65,0.39,0.6,22.68,15,0.56
SHANE_DOAN,20092010,0.21,0.55,223.18,334,0.58,0.21,0.55,7.05,9,0.57
SHANE_DOAN,20072008,0.19,0.55,223.14,221,0.55,0,0.5,0,0,0
DANIEL_ALFREDSSON,20112012,0.22,0.55,222.27,278,0.57,0.22,0.55,11.08,11,0.55
MIKE_RIBEIRO,20102011,0.19,0.55,222.21,268,0.56,0,0.5,0,0,0
JOE_THORNTON,20072008,0.2,0.55,222.17,626,0.64,0.2,0.55,38.75,95,0.62
SHANE_DOAN,20082009,0.18,0.55,221.78,73,0.52,0,0.5,0,0,0
JAMES_NEAL,20112012,0.19,0.55,221.38,738,0.66,0.25,0.56,18.13,70,0.74
DUSTIN_PENNER,20092010,0.21,0.55,221.3,164,0.54,0,0.5,0,0,0
PATRICK_O'SULLIVAN,20082009,0.2,0.55,221.22,201,0.55,0,0.5,0,0,0
ERIC_STAAL,20072008,0.17,0.54,220.63,426,0.58,0,0.5,0,0,0
ANDREW_LADD,20102011,0.18,0.55,220.35,210,0.54,0,0.5,0,0,0
HENRIK_ZETTERBERG,20102011,0.18,0.55,220.11,405,0.58,0.18,0.55,20.26,43,0.6
ZACH_PARISE,20072008,0.22,0.56,219.63,529,0.63,0.22,0.56,16.33,37,0.63
VACLAV_PROSPAL,20082009,0.22,0.55,219.59,251,0.56,0,0.5,0,0,0
MIKHAIL_GRABOVSKI,20112012,0.24,0.56,219.1,167,0.54,0,0.5,0,0,0
MICHAEL_FROLIK,20092010,0.22,0.55,218.42,152,0.54,0,0.5,0,0,0
RYAN_KESLER,20082009,0.21,0.55,218,-44,0.49,0.21,0.55,27.93,-19,0.46
JONATHAN_TOEWS,20082009,0.22,0.55,217.91,518,0.63,0.22,0.55,38.15,107,0.65
VIKTOR_KOZLOV,20072008,0.22,0.56,217.54,487,0.62,0.22,0.56,21.23,11,0.53
RAFFI_TORRES,20062007,0.29,0.57,217.38,162,0.55,0,0.5,0,0,0
DANIEL_ALFREDSSON,20072008,0.19,0.55,216.69,209,0.55,0.19,0.55,5.31,-5,0.45
SIMON_GAGNE,20052006,0.2,0.55,216.58,468,0.61,0.2,0.55,16.53,24,0.57
MATT_MOULSON,20102011,0.19,0.55,216.52,265,0.56,0,0.5,0,0,0
JOHAN_FRANZEN,20082009,0.24,0.56,216.46,541,0.65,0.24,0.56,78.16,146,0.61
DUSTIN_PENNER,20072008,0.24,0.56,216.13,263,0.57,0,0.5,0,0,0
DAVID_KREJCI,20082009,0.23,0.56,216.06,131,0.54,0.23,0.56,28.67,30,0.56
RYAN_KESLER,20072008,0.21,0.55,215.96,-113,0.47,0,0.5,0,0,0
WOJTEK_WOLSKI,20092010,0.21,0.55,215.37,232,0.56,0.21,0.55,19.47,40,0.61
JOE_PAVELSKI,20102011,0.19,0.55,215.22,480,0.61,0.19,0.55,54.33,75,0.57
MARTIN_ERAT,20092010,0.22,0.56,214.84,273,0.57,0.22,0.56,19.29,23,0.57
RAY_WHITNEY,20112012,0.2,0.55,214.54,439,0.6,0.2,0.55,42.06,12,0.51
RICK_NASH,20092010,0.2,0.55,214.24,63,0.51,0,0.5,0,0,0
MARTIN_GELINAS,20052006,0.24,0.56,213.18,150,0.54,0,0.5,0,0,0
RYAN_GETZLAF,20082009,0.17,0.54,212.97,659,0.63,0.17,0.54,40.56,25,0.53
JUSTIN_WILLIAMS,20092010,0.38,0.59,212.55,263,0.62,0.38,0.59,8.6,8,0.59
JIRI_HUDLER,20082009,0.26,0.57,212.42,543,0.67,0.26,0.57,60.88,164,0.68
DEREK_ROY,20082009,0.17,0.54,212.16,148,0.53,0,0.5,0,0,0
ANDREW_LADD,20112012,0.18,0.55,212.06,316,0.57,0,0.5,0,0,0
JEAN-PIERRE_DUMONT,20062007,0.25,0.56,210.98,207,0.56,0.25,0.56,15.19,6,0.52
DREW_SHORE,20122013,0.44,0.61,210.27,134,0.57,0,0.5,0,0,0
PHIL_KESSEL,20132014,0.2,0.55,209.97,27,0.51,0,0.5,0,0,0
JAMIE_BENN,20112012,0.24,0.56,209.72,196,0.55,0,0.5,0,0,0
ALEXANDER_SEMIN,20102011,0.25,0.56,209.62,342,0.6,0.25,0.56,30.89,49,0.6
PATRICE_BERGERON,20062007,0.19,0.55,209.54,165,0.54,0,0.5,0,0,0
MIKE_RICHARDS,20082009,0.17,0.54,209.45,-1,0.5,0.17,0.54,17.72,11,0.53
DAVID_PERRON,20082009,0.28,0.57,208.59,300,0.6,0.28,0.57,12.76,32,0.67
MARTIN_ERAT,20072008,0.22,0.55,208,287,0.57,0.22,0.55,19.03,-19,0.45
DAVID_MOSS,20082009,0.26,0.56,206.34,293,0.59,0.26,0.56,13.68,-10,0.45
ERIC_STAAL,20112012,0.15,0.54,205.61,142,0.53,0,0.5,0,0,0
TYLER_KENNEDY,20102011,0.25,0.56,204.74,308,0.59,0.25,0.56,23.25,76,0.7
RYAN_GETZLAF,20112012,0.17,0.54,204.25,389,0.58,0,0.5,0,0,0
JASON_POMINVILLE,20132014,0.29,0.57,204.21,316,0.61,0.29,0.57,37.25,41,0.58
MASON_RAYMOND,20102011,0.26,0.57,203.28,221,0.57,0.26,0.57,71.76,27,0.52
ERIC_FEHR,20082009,0.43,0.61,203.14,248,0.63,0.43,0.61,18.16,10,0.56
ALEXEI_PONIKAROVSKY,20052006,0.27,0.57,202.76,-19,0.49,0,0.5,0,0,0
PIERRE-MARC_BOUCHARD,20072008,0.22,0.56,202.69,346,0.59,0.22,0.56,16.71,45,0.65
MATT_DUCHENE,20092010,0.21,0.55,202.62,107,0.53,0.21,0.55,18.2,0,0.5
NIKOLAI_ZHERDEV,20082009,0.2,0.55,202.6,463,0.62,0.2,0.55,12,10,0.54
ROSTISLAV_OLESZ,20092010,0.24,0.56,202.56,11,0.5,0,0.5,0,0,0
DAVID_BOOTH,20082009,0.22,0.56,202.53,233,0.56,0,0.5,0,0,0
DAN_BOYLE,20092010,0.14,0.53,202.18,388,0.57,0.14,0.53,44.11,133,0.6
VIKTOR_STALBERG,20112012,0.25,0.56,202.14,232,0.57,0.25,0.56,17.81,28,0.6
MARIAN_HOSSA,20112012,0.19,0.55,201.89,186,0.54,0.19,0.55,6.66,20,0.64
LUBOMIR_VISNOVSKY,20102011,0.14,0.54,201.14,357,0.56,0.14,0.54,12.77,33,0.59
PATRICE_BERGERON,20112012,0.19,0.55,201.14,393,0.59,0.19,0.55,16.24,38,0.61
