player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
SCOTT_HARTNELL,20092010,0.06,0.52,81.77,418,0.58,0.06,0.52,20.86,13,0.51,0.06,0.52,97.82,431,0.57
MIKAEL_BACKLUND,20092010,0.32,0.58,81.69,104,0.6,0,0.5,0,0,0,0.32,0.58,82.15,104,0.6
KYLE_WELLWOOD,20122013,0.18,0.54,81.61,58,0.53,0,0.5,0,0,0,0.18,0.54,81.99,58,0.53
MARIUSZ_CZERKAWSKI,20032004,0.17,0.54,81.55,222,0.62,0.17,0.54,3.38,9,0.62,0.17,0.54,81.35,231,0.62
JOHAN_FRANZEN,20092010,0.18,0.54,81.53,290,0.66,0.18,0.54,40.76,125,0.64,0.18,0.54,121.75,415,0.65
SERGEI_BRYLIN,20072008,0.1,0.52,81.51,-147,0.46,0.1,0.52,4.37,-8,0.45,0.1,0.52,86.26,-155,0.46
NIKLAS_HAGMAN,20052006,0.1,0.52,81.43,-88,0.47,0.1,0.52,4.48,8,0.54,0.1,0.52,85.27,-80,0.48
SHELDON_SOURAY,20082009,0.04,0.51,81.4,89,0.51,0,0.5,0,0,0,0.05,0.51,84.85,89,0.51
CURTIS_BROWN,20062007,0.1,0.52,81.36,-82,0.48,0.1,0.52,10.13,7,0.52,0.1,0.53,95.83,-75,0.48
MIKKEL_BOEDKER,20122013,0.1,0.52,81.16,100,0.53,0,0.5,0,0,0,0.1,0.52,80.23,100,0.53
PETR_SYKORA,20082009,0.07,0.52,81.11,233,0.55,0.07,0.52,6.11,-2,0.49,0.04,0.51,47.45,231,0.55
TOMAS_HOLMSTROM,20022003,0.23,0.56,81.04,227,0.66,0.23,0.56,6.72,33,0.78,0.24,0.56,90.39,260,0.67
BRIAN_RAFALSKI,20102011,0.07,0.52,80.93,647,0.63,0.07,0.52,15.1,88,0.6,0.07,0.52,105.21,735,0.63
T.J._BRODIE,20132014,0.09,0.52,80.78,43,0.51,0,0.5,0,0,0,0.09,0.52,82.65,43,0.51
CURTIS_JOSEPH,20022003,0.06,0.51,80.76,10,0.5,0.06,0.51,7.75,49,0.59,0.06,0.52,96.72,59,0.51
PETR_PRUCHA,20082009,0.14,0.53,80.76,116,0.55,0,0.5,0,0,0,0.15,0.54,86.55,116,0.55
DANIEL_ALFREDSSON,20052006,0.05,0.51,80.75,357,0.56,0.05,0.51,10.26,46,0.56,0.05,0.51,84.39,403,0.56
DOMINIC_MOORE,20112012,0.07,0.52,80.65,-219,0.45,0.07,0.52,2.97,-7,0.46,0.07,0.52,83.4,-226,0.45
ERIC_STAAL,20032004,0.14,0.53,80.42,234,0.6,0,0.5,0,0,0,0.14,0.53,78.8,234,0.6
RICHARD_PARK,20082009,0.07,0.52,80.42,-365,0.42,0,0.5,0,0,0,0.07,0.52,84.31,-365,0.42
PATRICK_RISSMILLER,20062007,0.11,0.53,80.31,21,0.51,0.11,0.53,11.02,-14,0.47,0.11,0.53,92.37,7,0.5
MATT_CALVERT,20132014,0.19,0.55,80.26,68,0.54,0.19,0.55,14.99,5,0.52,0.18,0.55,92.47,73,0.54
GABRIEL_BOURQUE,20112012,0.16,0.54,80.22,-27,0.49,0.16,0.54,18.74,17,0.54,0.18,0.54,109.07,-10,0.5
MICHAL_ROZSIVAL,20102011,0.06,0.52,79.97,30,0.51,0.06,0.52,4.4,-13,0.45,0.06,0.52,82.1,17,0.5
TRAVIS_ZAJAC,20132014,0.09,0.52,79.96,149,0.54,0,0.5,0,0,0,0.1,0.52,84.28,149,0.54
BRAD_RICHARDSON,20132014,0.12,0.53,79.89,-135,0.45,0,0.5,0,0,0,0.12,0.53,82.08,-135,0.45
TYLER_BOZAK,20122013,0.08,0.52,79.8,-12,0.5,0.08,0.52,11.17,-42,0.42,0.08,0.52,82.17,-54,0.49
MARK_RECCHI,20082009,0.07,0.52,79.78,82,0.52,0.07,0.52,10.32,27,0.54,0.06,0.51,80.73,109,0.52
CHAD_LAROSE,20092010,0.1,0.52,79.72,-180,0.44,0,0.5,0,0,0,0.1,0.52,79.46,-180,0.44
