player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
ALEXEI_PONIKAROVSKY,20082009,0.28,0.5,181.4,206,0.58,0,0.5,0,0,0
DANIEL_ALFREDSSON,20112012,0.25,0.56,180.39,177,0.56,0.25,0.56,9.57,14,0.59
JUSTIN_WILLIAMS,20112012,0.26,0.56,179.95,328,0.62,0.26,0.56,45.63,93,0.63
SHANE_DOAN,20092010,0.23,0.56,178.65,233,0.57,0.23,0.56,5.63,9,0.59
LADISLAV_NAGY,20022003,0.33,0.5,178.6,209,0.6,0,0.5,0,0,0
DAVID_BOOTH,20082009,0.27,0.5,178.16,177,0.57,0,0.5,0,0,0
PATRICE_BERGERON,20102011,0.23,0.56,176.78,118,0.54,0.23,0.56,53.55,10,0.51
JAMIE_BENN,20112012,0.28,0.5,176.71,141,0.55,0,0.5,0,0,0
JOE_THORNTON,20102011,0.21,0.55,176.68,302,0.59,0.21,0.55,46.93,110,0.62
JEFF_CARTER,20082009,0.18,0.55,176.67,-16,0.5,0.18,0.55,14.03,-1,0.5
MICHAEL_FROLIK,20092010,0.23,0.5,176.6,94,0.53,0,0.5,0,0,0
JOE_THORNTON,20082009,0.21,0.55,176.57,401,0.62,0.21,0.55,13.14,34,0.63
WOJTEK_WOLSKI,20092010,0.23,0.56,176.5,206,0.57,0.23,0.56,16.78,33,0.61
MIKAEL_SAMUELSSON,20092010,0.28,0.62,176.36,271,0.61,0.49,0.62,51.72,69,0.66
EVGENI_MALKIN,20112012,0.2,0.55,176.36,539,0.65,0.2,0.55,13.34,56,0.71
RYAN_GETZLAF,20112012,0.21,0.5,175.83,269,0.58,0,0.5,0,0,0
PATRICE_BERGERON,20112012,0.23,0.56,175.66,272,0.59,0.23,0.56,14.9,25,0.59
RAY_WHITNEY,20082009,0.23,0.56,175.55,372,0.62,0.23,0.56,42.19,94,0.63
ANDREW_LADD,20102011,0.2,0.5,175.37,143,0.54,0,0.5,0,0,0
DUSTIN_PENNER,20072008,0.27,0.5,175.08,177,0.57,0,0.5,0,0,0
JORDAN_EBERLE,20122013,0.38,0.5,174.37,146,0.58,0,0.5,0,0,0
JOE_THORNTON,20072008,0.21,0.55,173.64,469,0.64,0.21,0.55,28.82,78,0.64
DANIEL_SEDIN,20122013,0.42,0.6,173.64,194,0.61,0.42,0.6,15.97,14,0.59
DREW_SHORE,20122013,0.5,0.5,173.64,118,0.58,0,0.5,0,0,0
JAMES_NEAL,20102011,0.25,0.56,173.52,147,0.55,0.25,0.56,15.92,50,0.7
ALEX_FROLOV,20092010,0.26,0.57,173.47,135,0.55,0.26,0.57,11.84,4,0.52
MARKUS_NASLUND,20072008,0.26,0.5,172.31,279,0.6,0,0.5,0,0,0
JASON_ARNOTT,20072008,0.23,0.56,172.03,285,0.59,0.23,0.56,8.34,-7,0.45
ROBERT_LANG,20072008,0.26,0.5,171.94,250,0.59,0,0.5,0,0,0
GLEN_MURRAY,20032004,0.21,0.55,171.91,267,0.58,0.21,0.55,13.11,25,0.6
LUC_ROBITAILLE,20032004,0.31,0.5,171.57,295,0.63,0,0.5,0,0,0
CLAUDE_GIROUX,20102011,0.21,0.56,171.34,178,0.55,0.26,0.56,36.75,86,0.65
JOE_PAVELSKI,20102011,0.21,0.55,171.2,339,0.6,0.21,0.55,43.9,64,0.57
JONATHAN_TOEWS,20082009,0.23,0.56,170.9,362,0.62,0.23,0.56,29.65,64,0.62
SIMON_GAGNE,20052006,0.23,0.56,170.78,324,0.61,0.23,0.56,12.59,16,0.57
ANZE_KOPITAR,20102011,0.22,0.5,170.67,192,0.56,0,0.5,0,0,0
MARTIN_ST. LOUIS,20082009,0.18,0.5,170.49,181,0.55,0,0.5,0,0,0
RYAN_MALONE,20082009,0.27,0.5,170.46,50,0.52,0,0.5,0,0,0
PATRICK_O'SULLIVAN,20082009,0.22,0.5,170.3,128,0.54,0,0.5,0,0,0
SIDNEY_CROSBY,20072008,0.3,0.57,169.35,188,0.58,0.3,0.57,69.94,94,0.6
DUSTIN_BYFUGLIEN,20102011,0.17,0.5,169.13,385,0.59,0,0.5,0,0,0
DUSTIN_PENNER,20092010,0.23,0.5,168.83,153,0.55,0,0.5,0,0,0
