NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Milan Michalek|0|0|0.4712|0.4712|0.9424|3|3.5|4.25|4.5|17.1348
Sandis Ozolinsh|5.5|5.5|2.75|2.75|0.625|0|0|0|0|17.125
Kari Lehtonen|0|0|0.9006|1.5|2.2|3|3|2.7|3.7|17.0006
Bryan Allen|0|0|0.941441|1.55|2.25|3|3|3.1|3.15|16.991441
Brendan Witt|1.65|1.75|1.672|2.5|2.8|3|3.5|0|0|16.872
Tomas Plekanec|0|0|0.45|0.45|1.4|1.8|2.75|5|5|16.85
Steve Staios|0.9|1.1|1.615|1.615|2.9|2.9|2.8|2.2|0.8|16.83
Dennis Wideman|0|0|0|0.4728|0.6|3.25|4|4|4.5|16.8228
Todd Marchant|1.54|2.9|2.47|2.47|2.47|2.66|1|1.25|0|16.76
Andrej Meszaros|0|0|0.9842|0.9842|0.9842|2.5|3.25|4|4|16.7026
Brent Burns|0|0|0.836|0.775|0.875|3|3.4|3.8|4|16.686
Mike Peca|3.25|4.25|3.99|2.5|1.315|1.315|0|0|0|16.62
Pierre Turgeon|6|7.5|1.5|1.5|0|0|0|0|0|16.5
Mike Comrie|1.025|1.5|1.748|3|3.375|4|1.25|0.5|0|16.398
Ryan Suter|0|0|0.9424|0.4712|0.9424|3.5|3.5|3.5|3.5|16.356
Chris Kunitz|0|0|0.4619|0.9625|0|3.5|3.6|3.8|4|16.3244
Tomas Holmstrom|1.3|1.475|1.368|1.501|2.25|2.25|2.25|2.25|1.5|16.144
Joe Corvo|0|0.475|0.6688|2.5|2.5|2.75|2.75|2|2.5|16.1438
Wojtek Wolski|0|0|0.9842|0.9842|0.86|2.5|3.1|3.6|4|16.0284
Matthew Stajan|0|0.95|0.8056|0.8|0.95|1.75|1.75|4.5|4.5|16.0056
Jason Allison|6.5|8|1.5|0|0|0|0|0|0|16
Niklas Kronwall|0|0|0.84|0|1.5|3|3.25|3.5|3.75|15.84
Francois Beauchemin|0|0|0.5|0.5|1.65|1.65|4.2|3.55|3.65|15.7
Matthew Carle|0|0|0|0.9424|0.9424|2.95|3.5|3.5|3.8|15.6348
Niklas Hagman|0.7|0.905|0.648318|0.675|0.675|3|3|3|3|15.603318
Steve Yzerman|8.5|5.849823|1.25|0|0|0|0|0|0|15.599823
Antoine Vermette|0|0|0.5343|0.925|1.075|2.525|3|3.75|3.75|15.5593
Aaron Ward|1.5|2|1.52|2.75|2.75|2.5|2.5|0|0|15.52
Tony Amonte|5.81434|5.896914|1.85|1.85|0|0|0|0|0|15.411254
